p1_overall_rating,p1_shot_power,p1_finishing,p2_overall_rating,p2_shot_power,p2_finishing,p3_overall_rating,p3_shot_power,p3_finishing,avg_shotons
60,55,31,65,67,64,64,74,70,0.0
64,70,60,68,64,50,70,76,70,0.0
81,78,71,71,73,72,78,80,79,0.0
71,66,69,65,63,65,70,78,72,0.0
65,67,56,67,63,60,61,58,66,0.0
70,81,49,66,73,46,67,71,66,0.0
69,65,66,68,66,67,63,63,60,0.0
79,72,73,70,69,69,71,76,70,0.0
66,69,65,70,58,65,75,75,80,0.0
62,70,45,65,66,68,64,71,65,0.0
81,83,76,63,58,68,65,69,63,0.0
78,77,71,72,69,69,72,71,73,0.0
70,84,63,70,76,70,72,71,70,0.0
60,55,31,69,78,73,64,74,70,0.0
74,74,75,71,73,72,78,80,79,0.0
65,67,44,65,67,56,67,67,68,0.0
72,70,72,67,70,69,70,81,49,0.0
65,65,42,66,67,66,67,70,53,0.0
64,57,62,61,69,63,64,71,68,0.0
78,77,71,66,80,68,72,71,73,0.0
63,58,54,65,66,68,64,71,65,0.0
64,57,57,63,58,68,65,69,63,0.0
69,65,66,55,58,57,63,63,60,0.0
66,78,65,65,67,72,70,58,65,0.0
76,73,73,71,77,72,71,76,70,0.0
75,70,65,65,63,65,70,78,72,0.0
56,52,34,61,58,56,72,73,83,0.0
65,68,63,68,73,63,69,78,73,0.0
66,65,57,71,68,72,66,78,65,0.0
81,78,71,74,74,75,78,80,79,0.0
81,77,52,76,73,73,71,76,70,0.0
67,71,52,62,66,68,61,58,66,0.0
76,76,70,74,74,75,78,80,79,0.0
63,65,31,64,57,62,64,71,68,0.0
65,63,44,60,58,54,67,75,67,0.0
58,65,37,70,76,70,75,82,75,0.0
64,65,58,70,77,64,69,65,66,0.0
65,63,65,70,78,72,67,61,69,0.0
65,67,72,70,58,65,66,69,65,0.0
70,81,49,60,66,61,67,70,69,0.0
62,65,35,64,72,52,61,61,64,0.0
65,67,56,64,65,63,62,66,68,0.0
69,65,66,68,66,67,70,77,64,0.0
58,65,37,72,71,70,77,79,78,0.0
81,83,76,65,69,63,61,71,60,0.0
76,76,70,74,74,75,80,85,81,0.0
64,72,52,61,61,64,53,53,28,0.0
52,59,30,64,57,62,64,71,68,0.0
65,63,44,67,75,67,62,71,62,0.0
70,81,49,65,67,60,67,70,69,0.0
74,85,25,53,53,53,61,60,63,0.0
72,73,68,65,68,63,69,78,73,0.0
78,77,71,61,70,52,72,71,73,0.0
73,79,67,65,63,65,70,78,72,0.0
70,84,63,77,79,78,72,71,70,0.0
71,71,67,67,70,53,66,67,66,0.0
61,61,64,53,53,28,70,71,57,0.0
64,65,63,62,66,68,63,64,63,0.0
81,77,52,74,72,62,71,76,70,0.0
64,67,39,66,71,69,67,75,67,0.0
65,67,72,62,75,66,71,68,72,0.0
58,65,45,63,58,68,61,71,60,0.0
62,65,47,77,79,78,72,71,70,0.0
63,63,60,55,58,57,69,65,66,0.0
66,66,61,64,73,62,70,71,57,0.0
78,69,57,65,69,63,65,66,62,0.0
64,60,46,68,73,63,64,62,36,0.0
64,57,57,63,58,68,63,70,63,0.0
81,83,76,65,63,65,70,78,72,0.0
76,76,70,79,72,27,78,80,79,0.0
69,72,53,70,84,63,77,79,78,0.0
64,70,65,66,65,58,68,73,63,0.0
66,58,33,64,57,57,63,58,68,0.0
65,67,56,65,69,63,61,67,58,0.0
81,83,76,70,78,72,66,73,65,0.0
70,77,64,71,76,70,82,86,84,0.0
67,74,49,71,68,72,66,69,65,0.0
67,70,69,64,65,62,68,73,67,0.0
64,73,62,61,61,64,70,71,57,0.0
63,65,31,65,66,62,80,85,81,0.0
63,51,44,64,67,71,64,72,69,0.0
76,76,70,79,72,27,72,70,78,0.0
75,82,75,69,72,53,77,79,78,0.0
63,63,60,55,58,57,61,63,62,0.0
64,70,65,65,68,63,68,73,63,0.0
60,57,43,63,61,61,63,58,68,0.0
71,66,69,70,78,72,81,83,76,0.0
70,77,64,74,73,72,82,86,84,0.0
72,63,40,74,75,68,66,69,65,0.0
64,65,62,68,73,67,67,70,69,0.0
70,69,62,72,69,69,72,71,73,0.0
69,62,64,65,66,62,80,85,81,0.0
79,72,27,74,74,75,78,80,79,0.0
67,74,49,66,69,65,72,63,40,0.0
72,68,75,75,82,75,77,79,78,0.0
62,43,29,64,65,58,55,58,57,0.0
